name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward
Dereck Walpo,,,mayor,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/dereck_walpo,,,,,
Doris Poonkamelya,,,,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/doris_poonkamelya,,,,,
Ada Woolla,,,,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/ada_woolla,,,,,
Edgar Kerindun,,,,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/edgar_kerindun,,,,,
Vera Komeeta,,,,Aurukun Shire Council,http://www.aurukun.qld.gov.au,aurukun_shire_council/vera_komeeta,,,,,
Richard Marsh,,,mayor,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/richard_marsh,,,,,
Samantha O'Toole,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/samantha_o'toole,,,,,
Scott Scriven,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/scott_scriven,,,,,
Robyn Fuhrmeister,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/robyn_fuhrmeister,,,,,
Ian Todd,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/ian_todd,,,,,
Fiona Gaske,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/fiona_gaske,,,,,
Robert Paul,,,,Balonne Shire Council,http://www.balonne.qld.gov.au,balonne_shire_council/robert_paul,,,,,
Nev Ferrier,,,mayor,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/nev_ferrier,,,,,
Colin Semple,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/colin_semple,,,,,
Brooke Leo,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/brooke_leo,,,,,
David Snell,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/david_snell,,,,,
Pat Brennan,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/pat_brennan,,,,,
Vaughn Becker,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/vaughn_becker,,,,,
Warren Middleton,,,,Banana Shire Council,http://www.banana.qld.gov.au,banana_shire_council/warren_middleton,,,,,
Robert Chandler,,,mayor,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/robert_chandler,,,,,
Sean Dillon,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/sean_dillon,,,,,
Milynda Rogers,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/milynda_rogers,,,,,
Rebecca Plumb,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/rebecca_plumb,,,,,
Garry Bettiens,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/garry_bettiens,,,,,
Gary Peoples,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/gary_peoples,,,,,
Jenni Gray,,,,Barcaldine Regional Council,http://www.barcaldinerc.qld.gov.au,barcaldine_regional_council/jenni_gray,,,,,
Bruce Scott,,,mayor,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/bruce_scott,,,,,
Dianne Pidgeon,,,,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/dianne_pidgeon,,,,,
Jill Fitzgerald,,,,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/jill_fitzgerald,,,,,
Michael Pratt,,,,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/michael_pratt,,,,,
Peter Batt,,,,Barcoo Shire Council,http://www.barcoo.qld.gov.au,barcoo_shire_council/peter_batt,,,,,
Barry Muir,,,mayor,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/barry_muir,,,,,
Graham Jarvis,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/graham_jarvis,,,,,
Lindsay Russell,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/lindsay_russell,,,,,
Hector Heumiller,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/hector_heumiller,,,,,
Pam Pullos,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/pam_pullos,,,,,
Ben Holdcroft,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/ben_holdcroft,,,,,
Boyd Johnstone,,,,Blackall-Tambo Regional Council,http://www.btrc.qld.gov.au,blackall-tambo_regional_council/boyd_johnstone,,,,,
Eric Charles Britton,,,mayor,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/eric_charles_britton,,,,,
Allan Robinson,,,,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/allan_robinson,,,,,
Rebecka Britton,,,,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/rebecka_britton,,,,,
Brook McGlinchey,,,,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/brook_mcglinchey,,,,,
Sam Beauchamp,,,,Boulia Shire Council,http://www.boulia.qld.gov.au,boulia_shire_council/sam_beauchamp,,,,,
Graham Quirk,,,mayor,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/graham_quirk,lordmayor@brisbane.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/039320.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/lord-mayor-graham-quirk,
