name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward
Anne Moran,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/anne_moran,a.moran@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-moran.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/anne-moran,Area Councillor
Martin Haese,,,Lord Mayor,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/martin_haese,Lordmayor@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-lordmayor-martin-haese.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/martin-haese,
Megan Hender,,,Deputy Lord Mayor,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/megan_hender,m.hender@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-hender.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/megan-hender,Central Ward
Houssam Abiad,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/houssam_abiad,ha@betteradelaide.com.au,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-abiad.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/houssam-abiad,Central Ward
Natasha Malani,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/natasha_malani,n.malani@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-natasha-malani.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/natasha-malani,Area Councillor
Sue Clearihan,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/sue_clearihan,s.clearihan@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-clearihan.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/susan-clearihan,North Ward
Alex Antic,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/alex_antic,a.antic@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-antic.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/alex-antic,South Ward
Priscilla Corbell,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/priscilla_corbell,p.corbell@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-corbell.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/priscilla-corbell,South Ward
Phil Martin,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/phil_martin,p.martin@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-martin.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/philip-martin,North Ward
Sandy Verschoor,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/sandy_verschoor,s.verschoor@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/Sandy_headshot.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/sandy-verschoor,Area Councillor
Dave Slama,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/dave_slama,d.slama@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-slama.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/david-slama,Central Ward
Sandy Wilkinson,,,,Adelaide City Council,http://www.adelaidecitycouncil.com,adelaide_city_council/sandy_wilkinson,s.wilkinson@adelaidecitycouncil.com,http://www.adelaidecitycouncil.com/assets/images/acc-adelaide-councillor-wilkinson.jpg,,http://www.adelaidecitycouncil.com/your-council/role-of-council/councillors/sandy-wilkinson,Area Councillor
Andrew Stratford,,,,Adelaide Hills Council,http://www.ahc.sa.gov.au,adelaide_hills_council/andrew_stratford,astratford@ahc.sa.gov.au,http://www.ahc.sa.gov.au/ahc-council/PublishingImages/Council/council-members/Website%20Photos/141118%20Cr%20Andrew%20Stratford.jpg,,http://ahc.dcw.lga.sa.gov.au/page.aspx?c=10804,Onkaparinga Valley
Ron Nelson,,,,Adelaide Hills Council,http://www.ahc.sa.gov.au,adelaide_hills_council/ron_nelson,rnelson@ahc.sa.gov.au,http://www.ahc.sa.gov.au/ahc-council/PublishingImages/Council/council-members/Website%20Photos/141118%20Cr%20Ron%20Nelson.jpg,,http://ahc.dcw.lga.sa.gov.au/page.aspx?c=204,Manoah
Bill Spragg,,,Mayor,Adelaide Hills Council,http://www.ahc.sa.gov.au,adelaide_hills_council/bill_spragg,bspragg@ahc.sa.gov.au,http://www.ahc.sa.gov.au/ahc-council/PublishingImages/Council/council-members/Website%20Photos/141118%20Mayor%20Bill%20Spragg.jpg,,http://ahc.dcw.lga.sa.gov.au/page.aspx?c=207,
John Kemp,,,,Adelaide Hills Council,http://www.ahc.sa.gov.au,adelaide_hills_council/john_kemp,jkemp@ahc.sa.gov.au,http://www.ahc.sa.gov.au/ahc-council/PublishingImages/Council/council-members/Website%20Photos/141118%20Cr%20John%20Kemp.jpg,,http://ahc.dcw.lga.sa.gov.au/page.aspx?c=209,Mt Lofty
