name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward
Janet Drummond,,,,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/janet_drummond,,,,,
Barry Le Fevre,,,,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/barry_le_fevre,,,,,
John McGiveron,,,Deputy Mayor,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/john_mcgiveron,,,,,
Glenn McGuiness,,,,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/glenn_mcguiness,,,,,
Margaret Osborne,,,,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/margaret_osborne,,,,,
Hannah Rubenach,,,,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/hannah_rubenach,,,,,
John Tucker,,,,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/john_tucker,,,,,
Mick Tucker,,,Mayor,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/mick_tucker,,,,,
Kylie Wright,,,,Break O'Day Council,http://www.bodc.tas.gov.au/,break_o'day_council/kylie_wright,,,,,
Barbara Curran,,,Deputy Mayor,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/barbara_curran,,,,,
Tony Foster,,,Mayor,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/tony_foster,,,,,
Wayne Garlick,,,,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/wayne_garlick,,,,,
Peter Geard,,,,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/peter_geard,,,,,
Leigh Gray,,,,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/leigh_gray,,,,,
Moya Jeffries,,,,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/moya_jeffries,,,,,
Phil Owen,,,,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/phil_owen,,,,,
Geoff Taylor,,,,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/geoff_taylor,,,,,
Sonya Williams,,,,Brighton Council,http://www.brighton.tas.gov.au/,brighton_council/sonya_williams,,,,,
Robert Bentley,,,,Burnie City Council,http://www.burnie.net/,burnie_city_council/robert_bentley,,,,,
Ron Blake,,,,Burnie City Council,http://www.burnie.net/,burnie_city_council/ron_blake,,,,,
Alvwyn Boyd,,,Deputy Mayor,Burnie City Council,http://www.burnie.net/,burnie_city_council/alvwyn_boyd,,,,,
Teeny Brumby,,,,Burnie City Council,http://www.burnie.net/,burnie_city_council/teeny_brumby,,,,,
Ken Dorsey,,,,Burnie City Council,http://www.burnie.net/,burnie_city_council/ken_dorsey,,,,,
Anita Dow,,,Mayor,Burnie City Council,http://www.burnie.net/,burnie_city_council/anita_dow,,,,,
Sandra French,,,,Burnie City Council,http://www.burnie.net/,burnie_city_council/sandra_french,,,,,
Steven Kons,,,,Burnie City Council,http://www.burnie.net/,burnie_city_council/steven_kons,,,,,
Chris Lynch,,,,Burnie City Council,http://www.burnie.net/,burnie_city_council/chris_lynch,,,,,
John Bloomfield,,,,Central Coast Council,http://www.centralcoast.tas.gov.au/,central_coast_council/john_bloomfield,,,,,
Jan Bonde,,,Mayor,Central Coast Council,http://www.centralcoast.tas.gov.au/,central_coast_council/jan_bonde,,,,,
