name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward
Kate Farrell,2012-11-07,,,Alpine Shire Council,http://www.alpineshire.vic.gov.au,alpine_shire_council/kate_farrell,katef@alpineshire.vic.gov.au,http://www.alpineshire.vic.gov.au/Page/Images/Cr_Farrell_Feb_2015_web.jpg,,http://www.alpineshire.vic.gov.au/Page/Page.aspx?Page_Id=58,
John Forsyth,2012-11-07,,,Alpine Shire Council,http://www.alpineshire.vic.gov.au,alpine_shire_council/john_forsyth,johnf@alpineshire.vic.gov.au,http://www.alpineshire.vic.gov.au/Page/Images/2013crjohnforsyth.jpg,,http://www.alpineshire.vic.gov.au/Page/Page.aspx?Page_Id=58,
Ron Janas,2012-11-07,,mayor,Alpine Shire Council,http://www.alpineshire.vic.gov.au,alpine_shire_council/ron_janas,ronj@alpineshire.vic.gov.au,http://www.alpineshire.vic.gov.au/Page/Images/2013crronjanas.jpg,,http://www.alpineshire.vic.gov.au/Page/Page.aspx?Page_Id=58,
Tony Keeble,2012-11-07,,,Alpine Shire Council,http://www.alpineshire.vic.gov.au,alpine_shire_council/tony_keeble,tonyk@alpineshire.vic.gov.au,http://www.alpineshire.vic.gov.au/Page/Images/2013crtonykeeble.jpg,,http://www.alpineshire.vic.gov.au/Page/Page.aspx?Page_Id=58,
Daryl Pearce,2012-11-07,,,Alpine Shire Council,http://www.alpineshire.vic.gov.au,alpine_shire_council/daryl_pearce,darylp@alpineshire.vic.gov.au,http://www.alpineshire.vic.gov.au/Page/Images/2013crdarylpearce.jpg,,http://www.alpineshire.vic.gov.au/Page/Page.aspx?Page_Id=58,
Peter Roper,2012-11-07,,,Alpine Shire Council,http://www.alpineshire.vic.gov.au,alpine_shire_council/peter_roper,peterr@alpineshire.vic.gov.au,http://www.alpineshire.vic.gov.au/Page/Images/2013crpeterroper.jpg,,http://www.alpineshire.vic.gov.au/Page/Page.aspx?Page_Id=58,
Jan Vonarx,2012-11-07,,,Alpine Shire Council,http://www.alpineshire.vic.gov.au,alpine_shire_council/jan_vonarx,janv@alpineshire.vic.gov.au,http://www.alpineshire.vic.gov.au/Page/Images/jan_vonarx_(4)_cropped.jpg,,http://www.alpineshire.vic.gov.au/Page/Page.aspx?Page_Id=58,
Gwenda Allgood,,,,Ararat Rural City Council,http://www.ararat.vic.gov.au,ararat_rural_city_council/gwenda_allgood,,,,,
Franz Deutsch,2015-03-28,,,Ararat Rural City Council,http://www.ararat.vic.gov.au,ararat_rural_city_council/franz_deutsch,,,,,
Fay Hull,,,,Ararat Rural City Council,http://www.ararat.vic.gov.au,ararat_rural_city_council/fay_hull,,,,,
Gary Hull,,,,Ararat Rural City Council,http://www.ararat.vic.gov.au,ararat_rural_city_council/gary_hull,,,,,
Colin McKenzie,,,,Ararat Rural City Council,http://www.ararat.vic.gov.au,ararat_rural_city_council/colin_mckenzie,,,,,
Glenda McLean,2014-02-15,,,Ararat Rural City Council,http://www.ararat.vic.gov.au,ararat_rural_city_council/glenda_mclean,,,,,
Paul Hooper,2013-06-22,,mayor,Ararat Rural City Council,http://www.ararat.vic.gov.au,ararat_rural_city_council/paul_hooper,,,,,
Glen Crompton,,2016-10-22,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/glen_crompton,glencrompton@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/2417141/cr_glen_crompton.jpg,Independent,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,Central
Belinda Coates,,,Deputy Mayor,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/belinda_coates,belindacoates@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/982745/cr_belinda_coates.jpg,Greens,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,Central
Samantha McIntosh,,,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/samantha_mcintosh,SamanthaMcIntosh@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/982770/cr_samantha_mcintosh.jpg,Liberal,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,Central
Mark Harris,2016-10-23,,Deputy Mayor,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/mark_harris,markharris@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/4120099/mark_harris.jpg,Independent,http://www.ballarat.vic.gov.au/ac/councillors-and-wards/meet-your-councillors/councillor-mark-harris.aspx,Central
Vicki Coltman,,2016-10-22,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/vicki_coltman,vickicoltman@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/982735/cr_vicki_coltman.jpg,Liberal,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,North
Amy Johnson,,,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/amy_johnson,amyjohnson@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/982750/cr_amy_johnson.jpg,Liberal,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,North
John Philips,,2016-10-22,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/john_philips,JohnPhilips@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/982765/cr_john_philips.jpg,Independent,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,North
Grant Tillett,2016-10-23,,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/grant_tillett,granttillett@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/4120165/grant_tillett.jpg,,http://www.ballarat.vic.gov.au/ac/councillors-and-wards/meet-your-councillors/councillor-grant-tillett.aspx,North
Daniel Moloney,2016-10-23,,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/daniel_moloney,danielmoloney@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/4120154/daniel_moloney.jpg,,http://www.ballarat.vic.gov.au/ac/councillors-and-wards/meet-your-councillors/councillor-daniel-moloney.aspx,North
Des Hudson,,,mayor,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/des_hudson,DesHudson@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/982740/cr_des_hudson.jpg,Labor,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,South
Peter Innes,,2016-10-22,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/peter_innes,peterinnes@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/982755/cr_peter_innes.jpg,Independent,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,South
Jim Rinaldi,,,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/jim_rinaldi,jimrinaldi@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/2998456/crjimrinaldi.jpg,Independent,http://www.ballarat.vic.gov.au/ac/councillors-and-wards.aspx,South
