name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward
Dennis William Wellington,,,Mayor,Albany City Council,,albany_city_council/dennis_william_wellington,,,,,Whole District - Mayor (Elected At Large)
Raymond John Hammond,,,,Albany City Council,,albany_city_council/raymond_john_hammond,,,,,Breaksea
Paul Terry,,,,Albany City Council,,albany_city_council/paul_terry,,,,,Breaksea
Carolyn Ann Dowling,,,,Albany City Council,,albany_city_council/carolyn_ann_dowling,,,,,Frederickstown
Gregory Brian Stocks,,,,Albany City Council,,albany_city_council/gregory_brian_stocks,,,,,Frederickstown
Janelle Margaret Price,,,,Albany City Council,,albany_city_council/janelle_margaret_price,,,,,Kalgan
William Hollingworth,,,,Albany City Council,,albany_city_council/william_hollingworth,,,,,Kalgan
Nicolette Elena Williams,,,,Albany City Council,,albany_city_council/nicolette_elena_williams,,,,,Vancouver
John Edwin Shanhun,,,,Albany City Council,,albany_city_council/john_edwin_shanhun,,,,,Vancouver
Alison Elizabeth Goode,,,,Albany City Council,,albany_city_council/alison_elizabeth_goode,,,,,West
Sandra Jane Smith,,,,Albany City Council,,albany_city_council/sandra_jane_smith,,,,,West
Robert Walter Sutton,,,,Albany City Council,,albany_city_council/robert_walter_sutton,,,,,Yakamia
Anthony Moir,,,,Albany City Council,,albany_city_council/anthony_moir,,,,,Yakamia
James Alexander Stewart,,,,Armadale City Council,,armadale_city_council/james_alexander_stewart,,,,,Heron
Donna Maree Shaw,,,,Armadale City Council,,armadale_city_council/donna_maree_shaw,,,,,Heron
Caroline Wielinga,,,,Armadale City Council,,armadale_city_council/caroline_wielinga,,,,,Jarrah
Grant Nixon,,,,Armadale City Council,,armadale_city_council/grant_nixon,,,,,Jarrah
Michelle Silver,,,,Armadale City Council,,armadale_city_council/michelle_silver,,,,,Lake
Carole Frost,,,,Armadale City Council,,armadale_city_council/carole_frost,,,,,Lake
Matthew Norman,,,,Armadale City Council,,armadale_city_council/matthew_norman,,,,,Minnawarra
Kerry Busby,,,,Armadale City Council,,armadale_city_council/kerry_busby,,,,,Minnawarra
Guenter Best,,,,Armadale City Council,,armadale_city_council/guenter_best,,,,,Neerigen
Mark Daniel Geary,,,,Armadale City Council,,armadale_city_council/mark_daniel_geary,,,,,Neerigen
Colin Campbell,,,,Armadale City Council,,armadale_city_council/colin_campbell,,,,,Palomino
Laurence Sargeson,,,,Armadale City Council,,armadale_city_council/laurence_sargeson,,,,,Palomino
Henry Anthony Zelones,,,,Armadale City Council,,armadale_city_council/henry_anthony_zelones,,,,,River
ruth Butterfield,,,,Armadale City Council,,armadale_city_council/ruth_butterfield,,,,,River
Glen Stanley Dellar,,,,Ashburton Shire Council,,ashburton_shire_council/glen_stanley_dellar,,,,,Ashburton
Kerry Marlene White,,,,Ashburton Shire Council,,ashburton_shire_council/kerry_marlene_white,,,,,Onslow
Melanie Gallanagh,,,,Ashburton Shire Council,,ashburton_shire_council/melanie_gallanagh,,,,,Pannawonica
Doughlas Ivan Dias,,,,Ashburton Shire Council,,ashburton_shire_council/doughlas_ivan_dias,,,,,Paraburdoo
Linton Stanley Rumble,,,,Ashburton Shire Council,,ashburton_shire_council/linton_stanley_rumble,,,,,Paraburdoo
Lorraine Joyce Thomas,,,,Ashburton Shire Council,,ashburton_shire_council/lorraine_joyce_thomas,,,,,Tableland
Peter Allan Foster,,,,Ashburton Shire Council,,ashburton_shire_council/peter_allan_foster,,,,,Tom Price
Anthony Desmond Bloem,,,,Ashburton Shire Council,,ashburton_shire_council/anthony_desmond_bloem,,,,,Tom Price
Cecilia Fernandez,,,,Ashburton Shire Council,,ashburton_shire_council/cecilia_fernandez,,,,,Tom Price
Kimberley Ronald Hastie,,,,Augusta Margaret River Shire Council,,augusta_margaret_river_shire_council/kimberley_ronald_hastie,,,,,Leeuwin
Michael Robert Smart,,,,Augusta Margaret River Shire Council,,augusta_margaret_river_shire_council/michael_robert_smart,,,,,Leeuwin
Felicity Ann Haynes,,,,Augusta Margaret River Shire Council,,augusta_margaret_river_shire_council/felicity_ann_haynes,,,,,Margaret River
Pamela Lesley Townshend,,,,Augusta Margaret River Shire Council,,augusta_margaret_river_shire_council/pamela_lesley_townshend,,,,,Margaret River
Kylie Suzanne Kennaugh,,,,Augusta Margaret River Shire Council,,augusta_margaret_river_shire_council/kylie_suzanne_kennaugh,,,,,North
Ian Earl,,,,Augusta Margaret River Shire Council,,augusta_margaret_river_shire_council/ian_earl,,,,,North
Peter Boyd Lane,,,,Augusta Margaret River Shire Council,,augusta_margaret_river_shire_council/peter_boyd_lane,,,,,North
Gerard Anthony Pule,,,,Bassendean Town Council,,bassendean_town_council/gerard_anthony_pule,,,,,Whole District
Michael Frederick Lewis,,,,Bassendean Town Council,,bassendean_town_council/michael_frederick_lewis,,,,,Whole District
Robert Harold Brown,,,,Bassendean Town Council,,bassendean_town_council/robert_harold_brown,,,,,Whole District
Paul Bridges,,,,Bassendean Town Council,,bassendean_town_council/paul_bridges,,,,,Whole District
Rene McLennan,,,,Bassendean Town Council,,bassendean_town_council/rene_mclennan,,,,,Whole District
John Ross Henry Gangell,,,,Bassendean Town Council,,bassendean_town_council/john_ross_henry_gangell,,,,,Whole District
Michael Christopher Cornish,,,,Bayswater City Council,,bayswater_city_council/michael_christopher_cornish,,,,,Central
Barry Anthony Mckenna,,,,Bayswater City Council,,bayswater_city_council/barry_anthony_mckenna,,,,,Central
Sally Palmer,,,,Bayswater City Council,,bayswater_city_council/sally_palmer,,,,,Central
Brent Fleeton,,,,Bayswater City Council,,bayswater_city_council/brent_fleeton,,,,,North
Michelle Louise Sutherland,,,,Bayswater City Council,,bayswater_city_council/michelle_louise_sutherland,,,,,North
Alan James Radford,,,,Bayswater City Council,,bayswater_city_council/alan_james_radford,,,,,North
Catherine Ehrhardt,,,,Bayswater City Council,,bayswater_city_council/catherine_ehrhardt,,,,,South
John Peter Rifici,,,,Bayswater City Council,,bayswater_city_council/john_peter_rifici,,,,,South
Stephanie Karen Coates,,,,Bayswater City Council,,bayswater_city_council/stephanie_karen_coates,,,,,West
